Symbol,National Common Name,Family,Author
342,271,8,82
343,272,8,25
344,271,8,298
345,273,8,36
346,274,8,124
347,275,8,299
347,2,8,222
347,2,8,73
348,273,8,295
349,273,8,62
349,2,8,300
349,2,8,85
349,2,8,94
349,2,8,8
349,2,8,301
349,2,8,302
349,2,8,102
349,2,8,139
349,2,8,303
349,2,8,124
349,2,8,74
350,273,8,295
350,2,8,259
350,2,8,139
350,2,8,61
350,2,8,23
350,2,8,38
350,2,8,304
351,274,8,305
351,2,8,305
351,2,8,38
352,273,8,102
352,2,8,295
352,2,8,62
352,2,8,302
352,2,8,6
352,2,8,14
352,2,8,6
352,2,8,38
352,2,8,304
353,274,8,286
353,2,8,286
353,2,8,121
353,2,8,38
354,276,30,186
355,277,8,181
356,277,8,306
356,2,8,293
356,2,8,293
356,2,8,14
357,277,8,293
358,278,31,307
358,2,31,41
358,2,31,308
359,279,13,14
360,280,8,8
360,2,8,293
360,2,8,293
360,2,8,293
360,2,8,293
360,2,8,79
360,2,8,6
360,2,8,4
360,2,8,94
361,279,13,309
361,2,13,310
361,2,13,309
362,281,13,293
362,2,13,293
362,2,13,6
362,2,13,67
363,282,18,127
363,2,18,38
364,283,8,36
365,278,31,277
366,284,30,4
367,285,18,42
368,285,18,311
368,2,18,38
369,285,18,312
369,2,18,67
370,286,18,313
370,2,18,42
370,2,18,314
370,2,18,18
370,2,18,312
370,2,18,315
370,2,18,312
370,2,18,42
370,2,18,74
370,2,18,316
371,287,30,287
372,288,3,139
373,289,3,82
374,290,3,25
374,2,3,210
374,2,3,130
375,291,30,287
376,292,18,25
376,2,18,73
376,2,18,23
376,2,18,42
376,2,18,94
376,2,18,315
376,2,18,42
376,2,18,67
376,2,18,67
376,2,18,74
376,2,18,316
376,2,18,112
376,2,18,61
377,293,8,36
377,2,8,124
377,2,8,222
377,2,8,295
377,2,8,303
377,2,8,82
377,2,8,94
377,2,8,304
377,2,8,38
377,2,8,74
378,294,13,6
379,294,13,47
380,294,13,317
380,2,13,41
380,2,13,310
381,295,3,318
382,295,3,319
382,2,3,320
382,2,3,36
383,296,13,36
384,297,18,42
385,298,18,312
386,299,13,25
387,300,9,321
387,2,9,322
387,2,9,209
387,2,9,323
388,299,13,293
389,297,18,324
389,2,18,23
389,2,18,7
389,2,18,38
390,298,18,325
390,2,18,312
390,2,18,302
390,2,18,38
390,2,18,38
391,299,13,324
391,2,13,169
391,2,13,310
392,301,13,6
393,302,18,312
393,2,18,67
394,303,13,293
395,304,8,43
395,2,8,38
396,305,8,42
397,306,8,82
398,307,8,124
399,308,32,36
400,309,14,326
401,310,18,327
401,2,18,315
401,2,18,328
401,2,18,36
402,311,8,6
402,2,8,102
403,312,18,312
403,2,18,38
404,313,9,321
405,314,33,275
406,315,3,55
406,2,3,329
407,316,18,187
408,317,32,25
408,2,32,42
408,2,32,330
409,318,18,25
410,316,18,331
411,319,18,312
411,2,18,85
411,2,18,312
411,2,18,139
411,2,18,315
411,2,18,315
412,320,18,332
412,2,18,74
413,321,13,14
414,322,13,38
414,2,13,293
414,2,13,38
415,321,13,333
415,2,13,333
415,2,13,38
415,2,13,333
416,321,13,38
416,2,13,293
416,2,13,38
416,2,13,67
417,323,18,312
417,2,18,4
418,320,18,312
418,2,18,86
418,2,18,67
419,324,18,6
419,2,18,127
419,2,18,4
419,2,18,42
419,2,18,4
419,2,18,334
419,2,18,122
419,2,18,335
419,2,18,223
419,2,18,4
419,2,18,6
419,2,18,42
419,2,18,336
419,2,18,18
419,2,18,42
419,2,18,111
419,2,18,42
419,2,18,67
419,2,18,67
419,2,18,67
419,2,18,74
419,2,18,74
420,325,33,337
421,325,33,338
421,2,33,45
422,326,3,36
423,327,13,5
424,328,13,293
424,2,13,199
424,2,13,23
424,2,13,293
424,2,13,67
425,329,13,293
425,2,13,62
425,2,13,71
425,2,13,4
425,2,13,38
426,330,18,153
426,2,18,316
427,331,8,36
427,2,8,29
428,332,13,339
429,333,8,340
429,2,8,341
430,330,18,342
430,2,18,14
430,2,18,58
430,2,18,82
431,332,13,293
431,2,13,6
431,2,13,210
431,2,13,25
431,2,13,127
431,2,13,47
431,2,13,38
432,334,18,23
433,335,18,312
433,2,18,42
433,2,18,67
434,334,18,343
434,2,18,312
